Tempo di misurazione,Peso(kg),BMI,Grasso corporeo(%),Peso corporeo senza grassi(kg),Grasso sottocutaneo(%),Grasso viscerale,Acqua corporea(%),Muscolo scheletrico(%),Massa muscolare(kg),Massa ossea(kg),Proteine(%),BMR(kcal),Età metabolica,Peso ottimale(kg),Obiettivo per un peso ottimale(kg),Obiettivo per una massa grassa ottimale(kg),Obiettivo per una massa muscolare ottimale(kg),Tipo di corpo,Osservazioni
2024-05-07 07:40:44,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,{}
2024-05-08 08:13:39,65.45,20.0,16.5,54.60,15.3,3.0,60.3,53.9,51.90,2.70,19.0,1550,38,,,,,,
2024-05-09 07:15:02,65.70,20.1,16.7,54.70,15.5,3.0,60.1,53.8,52.00,2.70,19.0,1552,38,,,,,,
2024-05-10 07:23:59,65.30,19.9,16.4,54.60,15.2,3.0,60.3,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-05-11 08:31:35,65.20,19.9,16.4,54.50,15.1,3.0,60.4,54.0,51.80,2.70,19.1,1547,38,,,,,,
2024-05-12 09:14:20,65.65,20.0,16.7,54.70,15.4,3.0,60.2,53.8,52.00,2.70,19.0,1551,38,,,,,,
2024-05-13 07:34:56,65.65,20.0,16.7,54.70,15.3,3.0,60.2,53.8,52.00,2.74,19.0,1551,38,,,,,,
2024-05-14 07:18:04,65.60,20.0,16.6,54.70,15.2,3.0,60.2,53.9,52.00,2.74,19.0,1551,38,,,,,,
2024-05-15 08:33:30,65.80,20.1,16.8,54.80,15.5,3.0,60.1,53.8,52.00,2.70,19.0,1553,38,,,,,,
2024-05-16 07:27:22,65.15,19.9,16.3,54.50,15.0,3.0,60.4,54.0,51.80,2.73,19.1,1547,38,,,,,,
2024-05-17 07:22:59,65.85,20.1,16.8,54.80,15.6,3.0,60.1,53.7,52.00,2.70,19.0,1553,38,,,,,,
2024-05-18 08:45:03,65.90,20.1,16.8,54.80,15.6,3.0,60.0,53.7,52.10,2.70,19.0,1553,38,,,,,,
2024-05-19 06:34:36,65.15,19.9,16.3,54.50,15.1,3.0,60.4,54.0,51.80,2.70,19.1,1547,38,,,,,,
2024-05-20 08:31:03,64.90,19.8,16.1,54.40,14.9,3.0,60.5,54.2,51.70,2.70,19.1,1545,38,,,,,,
2024-05-21 07:42:27,64.95,19.8,16.2,54.40,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1545,38,,,,,,
2024-05-22 08:38:18,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-05-23 07:25:53,65.25,19.9,16.4,54.50,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-05-24 08:30:27,65.65,20.0,16.7,54.70,15.4,3.0,60.2,53.8,52.00,2.70,19.0,1551,38,,,,,,
2024-05-25 08:56:57,65.30,19.9,16.4,54.60,15.2,3.0,60.3,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-05-26 08:53:07,65.15,19.9,16.3,54.50,15.1,3.0,60.4,54.1,51.80,2.70,19.1,1547,38,,,,,,
2024-05-27 07:23:55,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-05-28 07:20:22,64.70,19.7,16.0,54.30,14.8,3.0,60.6,54.3,51.60,2.70,19.1,1543,39,,,,,,
2024-05-29 08:38:13,65.00,19.8,16.2,54.40,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1546,38,,,,,,
2024-05-30 07:18:14,64.85,19.8,16.1,54.40,14.9,3.0,60.6,54.2,51.70,2.70,19.1,1544,38,,,,,,
2024-05-31 08:22:37,65.25,19.9,16.4,54.60,15.2,3.0,60.4,54.0,51.80,2.70,19.1,1548,38,,,,,,
2024-06-01 05:07:42,65.10,19.9,16.3,54.50,15.1,3.0,60.4,54.1,51.80,2.70,19.1,1547,38,,,,,,
2024-06-02 08:58:52,64.85,19.8,16.1,54.40,14.9,3.0,60.6,54.2,51.70,2.70,19.1,1544,38,,,,,,
2024-06-04 07:28:12,64.85,19.8,16.1,54.40,14.8,3.0,60.6,54.2,51.70,2.72,19.1,1545,38,,,,,,
2024-06-05 08:19:44,65.05,19.9,16.3,54.50,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1546,38,,,,,,
2024-06-06 07:33:51,64.95,19.8,16.2,54.40,15.0,3.0,60.5,54.1,51.70,2.70,19.1,1545,38,,,,,,
